Name,Price,Live,Add-On,Where,
Netflix,6.99,0,0,None,
Amazon Prime Video,8.99,0,0,None,
Disney Plus,8,0,0,None,
HBO,15.99,0,0,None,
fuboTV,74.99,1,0,None,
Hulu,7.99,0,0,None,
HBO Max,9.99,0,0,None,
Netflix Kids,-,0,1,Netflix,
Peacock,0,0,0,None,
Crunchyroll,7.99,0,0,None,
Globo Play,13.99,0,0,None,
Peacock Premium,4.99,0,0,None,
Acorn TV,6.99,0,0,None,
VIX,6.99,0,0,None,
Apple TV Plus,6.99,0,0,None,
Sony Liv,-,0,1,Sling TV,
YouTube,0,0,0,None,
Kocowa,6.99,0,0,None,
YouTube Premium,11.99,0,0,None,
Arte,0,0,0,None,
Curiosity Stream,4.99,0,0,None,
Disney Plus,7.99,0,0,None,
DIRECTV,64.99,1,0,None,
Watchbox,0,0,0,None,
Paramount Plus,4.99,0,0,None,
Funimation Now,7.99,0,0,None,
iWantTFC,12.99,0,0,None,
Wink,4.99,0,0,None,
FandangoNOW,0,0,0,None,
IMDb TV,0,0,0,None,
Blockbuster,-,0,0,None,
The Roku Channel,0,0,0,None,
Discovery Plus,4.99,0,0,None,
Hoopla,0,0,0,None,
The CW,0,0,0,None,
CW Seed,0,0,0,None,
Vudu,0,0,0,None,
TNTGo,-,0,0,None,
Starz,8.99,0,0,None,
South Park,-,0,0,None,
Showtime,10.99,0,0,None,
PBS,0,0,0,None,
FXNow,-,0,1,None,
Tubi TV,0,0,0,None,
Kanopy,0,0,0,None,
Comedy Central,-,0,1,None,
BBC Player Amazon Channel,-,0,1,Amazon Prime Video,
CBS,-,0,1,None,
Redbox,0,0,0,None,
ABC,-,0,1,None,
Global TV,-,0,1,None,
Crackle,0,0,0,None,
AMC,-,0,1,None,
NBC,-,0,1,Peacock Premium,
Epix,5.99,0,0,None,
Freeform,-,0,1,Hulu,
History,-,0,1,None,
Syfy,-,0,1,None,
A&E,-,0,1,None,
Lifetime,-,0,1,None,
Shudder,5.99,0,0,None,
Sundance Now,6.99,0,0,None,
Popcornflix,0,0,0,None,
BritBox,7.99,0,0,None,
Amazon Arthaus Channel,-,0,1,Amazon Prime Video,
Pantaya,-,0,0,None,
Boomerang,5.99,0,0,None,
Urban Movie Channel,5.99,0,0,None,Now known as AllBlk
Dove Channel,4.99,0,0,None,
Yupp TV,17.99,0,0,None,
Eros Now,7.99,0,0,None,
Magnolia Selects,4.99,0,0,None,
WWE Network,-,0,1,Peacock Premium,
MyOutdoorTV,9.99,0,0,None,
Nickhits Amazon Channel,-,0,1,Amazon Prime Video,
Noggin Amazon Channel,-,0,1,Amazon Prime Video,
Hopster TV,4.99,0,0,None,
Laugh Out Loud,-,0,0,None,
Smithsonian Channel,-,0,1,None,
Pure Flix,7.99,0,0,None,
Hallmark Movies,-,0,0,None,
PBS Kids Amazon Channel,-,0,1,Amazon Prime Video,
Boomerang Amazon Channel,-,0,1,Amazon Prime Video,
Cinemax Amazon Channel,-,0,1,Amazon Prime Video,
Pantaya Amazon Channel,-,0,1,Amazon Prime Video,
Hallmark Movies Now Amazon Channel,-,0,1,Amazon Prime Video,
PBS Masterpiece Amazon Channel,-,0,1,Amazon Prime Video,
Viewster Amazon Channel,-,0,1,Amazon Prime Video,
MZ Choice Amazon Channel,-,0,1,Amazon Prime Video,
Sling TV,20,1,0,None,
Sling TV Orange,20,1,0,None,
Sling TV Blue,45,1,0,None,
Sling TV Orange and Blue,60,1,0,None,
Pluto TV,0,0,0,None,
HBO Now Amazon Channel,-,0,1,Amazon Prime Video,
Showtime Amazon Channel,-,0,1,Amazon Prime Video,
CBS All Access Amazon Channel,-,0,1,Amazon Prime Video,
MTV,-,0,1,None,
Starz Play Amazon Channel,-,0,1,Amazon Prime Video,
Classix,0,0,0,None,
Shout! Factory TV,0,0,0,None,
Mhz Choice,7.99,0,0,None,
Netflix Free,0,0,0,None,
Shudder Amazon Channel,-,0,1,Amazon Prime Video,
AcornTV Amazon Channel,-,0,1,Amazon Prime Video,
BritBox Amazon Channel,-,0,1,Amazon Prime Video,
Sundance Now Amazon Channel,-,0,1,Amazon Prime Video,
Cartoon Network,-,0,1,None,
Adult Swim,-,0,1,None,
USA Network,-,0,1,None,
Fox,-,0,1,None,
FlixFling,7.99,0,0,None,
Bet+ Amazon Channel,,0,1,Amazon Prime Video,
AMC Plus,8.99,0,0,None,
Rakuten Viki,5.99,0,0,None,
Bravo TV,-,0,1,None,
TNT,-,0,1,None,
Food Network,-,0,1,None,
BBC America,-,0,1,None,
IndieFlix,4.99,0,0,None,
AHCTV,-,0,1,None,
TLC,-,0,1,None,
HGTV,-,0,1,None,
DIY Network,-,0,1,None,
Investigation Discovery,-,0,1,None,
Science Channel,-,0,1,None,
Destination America,-,0,1,None,
Animal Planet,-,0,1,None,
Discovery Life,-,0,1,None,
Discovery,-,0,1,None,
Motor Trend,-,0,1,None,
Cooking Channel,-,0,1,None,
Travel Channel,-,0,1,Paramount Plus,
Paramount Network,-,0,0,None,
Here TV,7.99,0,0,None,
TV Land,-,0,1,Paramount Plus,
Logo TV,-,0,1,Paramount Plus,
VH1,-,0,1,None,
DreamWorksTV Amazon Channel,-,0,1,Amazon Prime Video,
TBS,-,0,1,None,
AsianCrush,0,0,0,None,
FILMRISE,0,0,0,None,
Revry,0,0,0,None,
Rooster Teeth,5.99,0,0,None,
Spectrum On Demand,59.99,1,0,None,
OXYGEN,-,0,1,None,
tru TV,-,0,1,None,
DisneyNOW,-,0,1,None,
WeTV,-,0,1,None,
Discovery Plus,4.99,0,0,None,
ARROW,6.99,0,0,None,
Plex,0,0,0,None,
The Oprah Winfrey Network,,0,1,None,
